elegant
fancy
ashy
black
red
clever
dead
easy
famous
gifted
hallowed
helpful
odd
powerful
rich
aggressive
angry
fierce
grumpy
scary
high
big
colossal
gigantic
great
huge
loud
bitter
cool
fresh
greasy
juicy
hot
rotten
strong
rough
